2019-01-02 22:31:15.731 INFO  budynek2: sending medium to consumers
2019-01-02 22:31:15.732 INFO  budynek2: medium sent to consumers
2019-01-02 22:31:15.732 INFO  konsument4: received supply, current demand - 0.0
2019-01-02 22:31:15.733 INFO  konsument4: need 0.0 medium from dostawca2
2019-01-02 22:31:15.733 INFO  akumulator2: charging up - 0.07
2019-01-02 22:31:15.732 INFO  budynek2: sending demand to provider dostawca2 0.0
2019-01-02 22:31:15.732 INFO  konsument5: received supply, current demand - 0.0
2019-01-02 22:31:15.734 INFO  konsument5: need 0.0 medium from dostawca2
2019-01-02 22:31:15.808 INFO  budynek3: sending medium to consumers
2019-01-02 22:31:15.809 INFO  budynek3: medium sent to consumers
2019-01-02 22:31:15.809 INFO  budynek3: sending demand to provider dostawca1 0.0
2019-01-02 22:31:15.809 INFO  akumulator3: charging up - 0.55
2019-01-02 22:31:15.824 INFO  konsument6: received supply, current demand - 0.0
2019-01-02 22:31:15.824 INFO  konsument6: need 0.0 medium from dostawca1
2019-01-02 22:31:16.905 INFO  akumulator1: informing budynek1 of state and capacity
2019-01-02 22:31:16.906 INFO  budynek1: current battery capacity - 1.0 (EXCESS_MEDIUM)
2019-01-02 22:31:16.949 INFO  akumulator2: informing budynek2 of state and capacity
2019-01-02 22:31:16.949 INFO  budynek2: current battery capacity - 0.9777195184440964 (EXCESS_MEDIUM)
2019-01-02 22:31:17.012 INFO  akumulator3: informing budynek3 of state and capacity
2019-01-02 22:31:17.012 INFO  budynek3: current battery capacity - 1.0 (EXCESS_MEDIUM)
2019-01-02 22:31:19.420 INFO  budynek1: preparing supply plan
2019-01-02 22:31:19.420 INFO  budynek1: checking battery state
2019-01-02 22:31:19.451 INFO  budynek2: preparing supply plan
2019-01-02 22:31:19.451 INFO  budynek2: checking battery state
2019-01-02 22:31:19.527 INFO  budynek3: preparing supply plan
2019-01-02 22:31:19.528 INFO  budynek3: checking battery state
2019-01-02 22:31:23.425 INFO  budynek1: sending medium to consumers
2019-01-02 22:31:23.425 INFO  budynek1: medium sent to consumers
2019-01-02 22:31:23.426 INFO  akumulator1: charging up - 0.0
2019-01-02 22:31:23.455 INFO  budynek2: sending medium to consumers
2019-01-02 22:31:23.455 INFO  budynek2: medium sent to consumers
2019-01-02 22:31:23.457 INFO  akumulator2: charging up - 0.0
2019-01-02 22:31:23.536 INFO  budynek3: sending medium to consumers
2019-01-02 22:31:23.537 INFO  budynek3: medium sent to consumers
2019-01-02 22:31:23.537 INFO  akumulator3: charging up - 0.0
2019-01-02 22:31:24.639 INFO  akumulator1: informing budynek1 of state and capacity
